GHGRP 1,Company,Facility,Subsector,Extraction Technology,Product,AER Approval 1,Year,Cogen_Adjusted_Emission,Production,Emission_Intensity
G10735,PetroChina Canada Ltd.,MacKay River Commercial Project,In Situ,SAGD,Crude Bitumen,11715,2011,0.0,0,0.0
G10180,Suncor Energy Oil Sands Limited Partnership,"MacKay River, In-Situ Oil Sands Plant",In Situ,SAGD,Crude Bitumen,8668,2011,631610.0,1743044,0.362
G10619,MEG Energy Corp.,MEG Christina Lake Regional Project,In Situ,SAGD,Crude Bitumen,10773,2011,578065.0,1532025,0.377
G10412,Strathcona Resources Ltd,Orion Facilities,In Situ,SAGD,Crude Bitumen,10103,2011,160690.0,233848,0.687
G10723,Greenfire Resources Operating Corporation,STP McKay Thermal Project,In Situ,SAGD,Crude Bitumen,11461,2011,0.0,0,0.0
G10815,Cenovus Energy Inc,Sunrise Thermal,In Situ,SAGD,Crude Bitumen,10419,2011,0.0,0,0.0
G10414,ConocoPhillips Surmont Partnership,Surmont SAGD Commercial Battery,In Situ,SAGD,Crude Bitumen,9426,2011,468997.0,1302577,0.36
G10394,Strathcona Resources Ltd,Tucker Thermal,In Situ,SAGD,Crude Bitumen,9835,2011,417678.0,425565,0.981
G10324,Canadian Natural Resources Limited,Wolf Lake and Primrose Plant,In Situ,CSS,Crude Bitumen,9140,2011,2821481.0,5588336,0.505
G10262,Canadian Natural Upgrading Ltd,Canadian Natural Upgrading Limited Muskeg River Mine and Jackpine Mine and Scotford Upgrader,Mining & Upgrading,PFT,Synthetic Crude Oil,ABOS0077192 ,2011,5490217.0,11599206,0.473
G11397,Fort Hills Energy L.P.,Fort Hills Oil Sands,Mining Stand-Alone,PFT,Crude Bitumen,ABOS0104948 ,2011,0.0,0,0.0
G10408,Canadian Natural Resources Limited,Horizon Oil Sands Processing Plant and Mine,Mining & Upgrading,NFT,Synthetic Crude Oil,ABOS0093231 ,2011,1690792.0,2350088,0.719
G10750,Imperial Oil Resources Limited,Kearl Oil Sands Processing Plant and Mine,Mining Stand-Alone,PFT,Crude Bitumen,ABOS0101871 ,2011,0.0,0,0.0
G10187,Syncrude Canada Ltd.,Mildred Lake and Aurora Plant Sites,Mining & Upgrading,NFT,Synthetic Crude Oil,ABOS0077533 ,2011,12418994.0,16934052,0.733
G10558,Suncor Energy Oil Sands Limited Partnership ,Suncor Energy Inc. Oil Sands,Mining & Upgrading,NFT,Synthetic Crude Oil,ABOS0077189 ,2011,7901456.0,16711569,0.473
G10604,Connacher Oil and Gas Limited,Great Divide,In Situ,SAGD,Crude Bitumen,10587,2012,475223.0,434934,1.093
G12193,IPC Canada. Ltd,Blackrod SAGD Pilot 02-36-076-18W4,In Situ,SAGD,Crude Bitumen,11522,2012,0.0,0,0.0
